date,time,abbreviation_canton_and_fl,ncumul_tested,ncumul_conf,ncumul_hosp,ncumul_ICU,ncumul_vent,ncumul_released,ncumul_deceased,source
2020-03-06,12:00,SO,"",1,"","","","","",https://so.ch/startseite/aktuell/news/erster-laborbestaetigter-covid-19-fall-im-kanton-solothurn/?tx_news_pi1%5Bcontroller%5D=News&tx_news_pi1%5Baction%5D=detail&cHash=3074bbdc8f0fcdcb9f1e11a21fc05e73
2020-03-18,"",SO,"",43,"","","","","",https://www.oltnertagblatt.ch/solothurn/kanton-solothurn/zivilschuetzer-kontrollieren-wer-in-die-solothurner-spitaeler-rein-will-137174885
2020-03-20,17:37,SO,"",66,"","","","","",https://twitter.com/KantonSolothurn/status/1241041303024041989?p=p
2020-03-23,12:00,SO,"",95,"","","","",1,https://corona.so.ch/
2020-03-24,00:00,SO,"",104,"","","","",1,https://corona.so.ch/
2020-03-25,00:00,SO,"",129,"","","","",1,https://corona.so.ch/
2020-03-26,00:00,SO,"",141,"","","","",1,https://corona.so.ch/
2020-03-27,00:00,SO,"",157,"","","","",1,https://corona.so.ch/
2020-03-28,00:00,SO,"",173,"","","","",1,https://corona.so.ch/
2020-03-29,00:00,SO,"",190,"","","","","",https://corona.so.ch/
2020-03-30,00:00,SO,"",193,"","","","","",https://corona.so.ch/
2020-03-31,00:00,SO,"",190,"","","","","",https://corona.so.ch/
2020-04-01,00:00,SO,"",216,"","","","","",https://corona.so.ch/
2020-04-02,00:00,SO,"",227,"","","","","",https://corona.so.ch/
2020-04-03,00:00,SO,"",237,"","","","","",https://corona.so.ch/
2020-04-04,00:00,SO,"",250,"","","","","",https://corona.so.ch/
2020-04-05,00:00,SO,"",258,"","","","","",https://corona.so.ch/
2020-04-06,00:00,SO,"",261,"","","","","",https://corona.so.ch/
2020-04-07,00:00,SO,"",264,"","","","","",https://corona.so.ch/
2020-04-08,00:00,SO,"",276,"","","","","",https://corona.so.ch/
2020-04-09,00:00,SO,"",282,"","","","","",https://corona.so.ch/
2020-04-10,00:00,SO,"",294,"","","","","",https://corona.so.ch/
2020-04-11,00:00,SO,"",306,"","","","","",https://corona.so.ch/
2020-04-12,24:00,SO,"",321,"","","","","",https://corona.so.ch/
2020-04-13,24:00,SO,"",325,"","","","","",https://corona.so.ch/
2020-04-14,24:00,SO,"",329,"","","","","",https://corona.so.ch/
2020-04-15,24:00,SO,"",343,"","","","","",https://corona.so.ch/
2020-04-16,24:00,SO,"",350,"","","","","",https://corona.so.ch/
2020-04-17,24:00,SO,"",353,"","","","","",https://corona.so.ch/
2020-04-18,24:00,SO,"",355,"","","","","",https://corona.so.ch/
2020-04-19,24:00,SO,"",355,"","","","","",https://corona.so.ch/
2020-04-20,24:00,SO,"",359,"","","","","",https://corona.so.ch/
2020-04-21,24:00,SO,"",368,"","","","","",https://corona.so.ch/
2020-04-22,24:00,SO,"",375,"","","","","",https://corona.so.ch/
2020-04-23,24:00,SO,"",376,"","","","","",https://corona.so.ch/
2020-04-24,24:00,SO,"",379,"","","","","",https://corona.so.ch/
2020-04-25,24:00,SO,"",380,"","","","","",https://corona.so.ch/
2020-04-26,24:00,SO,"",382,"","","","","",https://corona.so.ch/
2020-04-27,24:00,SO,"",383,"","","","","",https://corona.so.ch/
2020-04-28,24:00,SO,"",384,"","","","","",https://corona.so.ch/
2020-04-29,24:00,SO,"",388,"","","","","",https://corona.so.ch/
2020-04-30,24:00,SO,"",390,"","","","","",https://corona.so.ch/
2020-05-01,24:00,SO,"",392,"","","","","",https://corona.so.ch/
2020-05-03,24:00,SO,"",400,"","","","","",https://corona.so.ch/
2020-05-04,24:00,SO,"",402,"","","","","",https://corona.so.ch/
2020-05-05,24:00,SO,"",403,"","","","","",https://corona.so.ch/
2020-05-11,24:00,SO,"",421,"","","","","",https://corona.so.ch/
2020-05-12,24:00,SO,"",423,"","","","","",https://corona.so.ch/
2020-05-13,24:00,SO,"",425,"","","","","",https://corona.so.ch/
2020-05-17,24:00,SO,"",432,"","","","","",https://corona.so.ch/
2020-05-18,24:00,SO,"",434,"","","","","",https://corona.so.ch/
2020-05-19,24:00,SO,"",436,"","","","","",https://corona.so.ch/
2020-05-20,24:00,SO,"",439,"","","","","",https://corona.so.ch/
2020-05-24,24:00,SO,"",439,"","","","","",https://corona.so.ch/
2020-05-25,24:00,SO,"",439,"","","","","",https://corona.so.ch/
2020-05-26,24:00,SO,"",439,"","","","","",https://corona.so.ch/
2020-05-27,24:00,SO,"",440,"","","","","",https://corona.so.ch/
2020-05-28,24:00,SO,"",440,"","","","","",https://corona.so.ch/
2020-06-01,24:00,SO,"",444,"","","","","",https://corona.so.ch/
